ID,Sale Date,Vessel Name,Sale Price ($US Millions),Year Built,Age at Sale (years),Dead-Weight Tons (000),Trailing 1-Year Average Monthly Baltic Try Capesize Index
1,39089,Lowlands Beilun,73,1999,8,170.2,4647
2,39089,CHS Moon,45,1991,16,150.2,4647
3,39089,Spring Brave,62,1995,12,151.1,4647
4,39089,Martha Verity,60,1995,12,158,4647
5,39089,TMT TBN,61.3,1993,14,174.7,4647
6,39120,Pantelis SP,83,1999,8,169.9,4878
7,39120,Amazon,45,1990,17,149.5,4878
8,39148,Cape Kassos,100,2004,3,170,5245
9,39148,Johnny K,65,1994,13,165.3,5245
10,39148,Zorbas,70,1996,11,165.1,5245
11,39148,Americana,33,1987,20,149,5245
12,39148,Martha Verity,63,1995,12,158,5245
13,39148,Ullswater,43,1990,17,123.5,5245
14,39179,Formosabulk Brave,95,2001,6,170.1,5752
15,39179,Formosabulk Clement,95,2001,6,170.1,5752
16,39179,Nautical Dream,63,1994,13,151.4,5752
17,39179,Formosabulk Allstart,67,1995,12,150.4,5752
18,39179,Arimathian,62,1994,13,149.8,5752
19,39179,Boss,31,1985,22,139.8,5752
20,39209,Zorbas II,86,1996,11,174.5,6201
21,39209,Fertilia,50.5,1997,10,172.6,6201
22,39209,Ingenious,64.2,1996,11,170,6201
23,39240,Anagel Dawn,67,1994,13,149.3,6618
24,39240,Orient Fortune,28,1984,23,161.4,6618
25,39270,Great Moon,30,1984,23,146,6980
26,39270,Gran Trader,105,2001,6,172.5,6980
27,39301,Cape Brazil,22,1981,26,140.8,7441
28,39332,Thalassini Kyra,133,2002,5,164.2,8181
29,39362,Tiger Lily,90,1995,12,149.2,8886
30,39362,Dong-A-Helios,47,1986,21,146.9,8886
31,39362,Marine Hunter,45,1984,23,164.5,8886
32,39362,Paeace Glory,57,1984,23,166.1,8886
33,39393,Sumihou,106,1996,11,171.1,9663
34,39393,Gran Trader,152,2001,6,172.6,9663
35,39393,Netadola,97,1993,14,149.5,9663
36,39393,Nordstar,38,1983,24,150.7,9663
37,39393,Capitan Vangelis L,87.5,1992,15,148.2,9663
38,39423,Voutakos,78,1987,20,188.3,10299
39,39423,Sachuest,35,1986,21,98.4,10299
40,39455,Sinfonia,83.7,1991,17,184.4,10526
41,39455,Jin Tai,155,2004,4,173.9,10526
42,39486,Dias,58,1988,20,135,10844
43,39515,Desimi,83,1989,19,207.1,11193
44,39515,Samos,25,1982,26,137,11193
45,39515,Cape Sun,135,1999,9,171.7,11193
46,39546,Nightflight,158,2004,4,170,11614
47,39576,Cape Falcon,82.7,1993,15,161.5,12479
48,39576,Castle Peak,82,1990,18,145.4,12479
